epoch,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,pos_x,pos_y,pos_z,deflection
1567333251.522000,0.185163,-0.109460,0.322622,-0.031232,-0.000211,0.003296,-0.046880,-0.001481,-0.078236,0.091206
1567333251.555000,0.010408,0.115472,0.052193,-0.028019,-0.000131,0.009478,-0.047813,-0.001492,-0.078063,0.091542
1567333251.588000,0.022273,-0.023226,0.205413,-0.027495,0.001372,0.013730,-0.048685,-0.001476,-0.077715,0.091705
1567333251.621000,0.077190,-0.193011,0.294010,-0.025871,-0.002215,0.021976,-0.049522,-0.001495,-0.077157,0.091682
1567333251.654000,-0.004206,0.220995,0.119399,-0.024685,-0.001771,0.028807,-0.050314,-0.001566,-0.076348,0.091436
1567333251.687000,0.187122,-0.142667,0.332349,-0.021687,-0.000496,0.036275,-0.051038,-0.001609,-0.075299,0.090966
1567333251.720000,0.081700,0.067949,0.069188,-0.017274,-0.001747,0.042919,-0.051640,-0.001652,-0.074015,0.090249
1567333251.753000,0.174962,-0.271686,0.287046,-0.013062,-0.005125,0.048819,-0.052101,-0.001771,-0.072520,0.089295
1567333251.786000,0.019331,0.106429,0.131566,-0.009881,-0.007869,0.055752,-0.052441,-0.001992,-0.070810,0.088115
1567333251.819000,0.023942,-0.058647,0.265580,-0.009193,-0.007097,0.062336,-0.052719,-0.002245,-0.068875,0.086735
1567333251.852000,0.131522,-0.130363,0.351740,-0.006656,-0.010231,0.072556,-0.052944,-0.002538,-0.066659,0.085126
1567333251.885000,0.069252,0.123405,0.047989,-0.003371,-0.010361,0.079190,-0.053074,-0.002885,-0.064162,0.083268
1567333251.918000,0.176834,-0.108649,0.234670,0.000659,-0.010133,0.083897,-0.053085,-0.003230,-0.061474,0.081222
1567333251.951000,0.083380,0.123544,-0.059565,0.004922,-0.009902,0.086833,-0.052959,-0.003568,-0.058658,0.079028
1567333251.984000,0.009148,0.154701,-0.030867,0.006417,-0.005325,0.085391,-0.052740,-0.003827,-0.055814,0.076790
1567333252.017000,0.078486,-0.101281,0.234860,0.007831,-0.004457,0.088812,-0.052475,-0.003997,-0.052934,0.074536
